272,Felicity
273,Sing His Praise
274,Mother Tell Me of the Angels
275,Missionary's Farewell
276,Worlds Beyond the Sky
277,Sweet Affliction
278,God Holds the Future
279,Lecil
280,Zion
281t,Am I Born to Die?
281b,Palmetto
282,Friendship
283,Willowby
284,Don't Grieve Your Mother
285,Farewell Brother
286,Ganges
287,Indian Convert
288,Morris
289,Happy Land
290,Amity
291,Warrenton
292,Grief of Love
293,Lenox
294,Carmarthen
295,Redeemer's Praise
296,He's Holding My Hand
297,Lucas
298,My Shepherd Guides
299,Green Meadows
300,Desire
301,John Street
302,Olivers
303,The Unclouded Day
304,Blue Vale of Nauchoochee
305,The Weary Soldier
306,Middlebury
307,True Happiness
308,The Happy Time
309,Singing School
310t,Our Journey Home
310b,Weary Sinner
311,Elysian
312,Penitence
313,Bruce's Address
314,The Christian
315,David's Victory
316,This Heavy Load
317,The Christian Soldier
318,The Martial Trumpet
319,Weary Pilgrim
320,Longing for the Day
321,Hear and Save
322,Among that Band
323,Holy Manna
324,Fair Fields of Eden
325t,Will You Go?
325b,Jesus Died For Me
326,Royal Proclamation
327,The Christian's Hope
328,Mercy's Free
329,Redeeming Grace
330,Fulfillment
331,A Home in Heaven
332,Babylonian Captivity
333,Night is Coming
334,Jordan's Stormy Wave
335,When I am Gone
336t,Sweet Harmony
336b,Probation
337,To Die No More
338t,How Firm a Foundation
338b,Davis
339,Samanthra
340,Concord
341,The Lone Pilgrim
342,Blest Morn
343,Tell the Story
344,Morality
345,The Shepherd's Star
346,Star in the East
347,Portuguese Hymn
348,We've a Mansion in Heaven
349,Redemption (First)
350,The Rock
351,Sweet Home
352,My Home on High
353,Bower of Prayer
354,Summer
355,Homeward Bound
356,Morning Song
357,The Trumpet
358,"O Come, Come Away"
359,Wondrous Love
360,The Saints Bound for Heaven
361,Solemn Thought
362,Shining Light
363,The Christian Warfare
364,Redemption (Second)
365,The Indian's Petition
366,Millennium (First)
367,David's Lamentation
368t,Brush Creek
368b,Sweetest Pleasure
369,Easter Anthem
372,I Won't Turn Back
374,Heavenly Vision
378,Mount Hope
380,Christian Song
382,How Sweet the Sound
383,Azmon
384,Lord I'm Depending on You
385,Sweet Heaven
386,Spartanburg
387,"Stay, Sinner"
388,Anchor
389,Crown of Victory
390,Crown of Light
391,Glad Tidings
392,Imandra
393t,West Point
393b,China
394,Stubborn Heart
395,King of Peace
396t,Adams
396b,Waynsville
397t,Hants
397b,Bedan
398t,St. Thomas
398b,Gerar
399t,Lockport
399b,Thatcher
400t,Christian Love
400b,Hall
401t,Tillotson
401b,Euphrates
402t,Olive Leaf
402b,Kelso
403t,New Year
403b,Silver Street
404t,Rosalie
404b,Arion
405t,Honeywel
405b,Caution
406,Luther
407,Sweet Hope (Second)
408t,Shirland
408b,Dartmouth
409t,Little Marlborough
409b,Newingham
410t,Weeping Saviour
410b,Kambia
411,The Trumpeters
412t,Howard
412b,Colchester
413t,Warwick
413b,Barby
414,Friend
415t,Nazareth
415b,Henry
416t,Fragrance
416b,Edwards
417t,Heber
417b,Zanesville
418t,Chimes
418b,Union Vale
419t,Rockingham (First)
419b,Fountain
420,Cambridge
421t,Seymour
421b,Caddo
422t,Boswell
422b,Whitney
423t,Coventry
423b,Benediction
424,Nightingale
425t,Exchange
425b,Ryland
426,Tappan
427,Naomi
428,Zerah
429,Charming Name
430,Let Me Rise
431,Dungeness
432t,Loftin
432b,Fish Pond
433,New Haven
434,Nobler Choice
435,Shenley
436t,Turner
436b,It Is I
437,The Dying Penitent
438,The Mouldering Vine
439,Lydia
440t,Beulah
440b,Robinson
441,The Lonesome Dove
442,Lanesboro
443,Christmas
444,Broomsgrove
445,Revelation
446,Damascus
447,Mount Pisgah
448t,Suffield
448b,Coleshill
449,Cosmer
450t,Burford
450b,Consolation
451t,Shepherd (First)
451b,Devotion (Second)
452t,Head
452b,Hebron
453t,De Beza
453b,Wakefield
454,Heavenly Light (or Eden)
455t,New Lebanon
455b,Rockbridge
456t,Blenden
456b,Endor
457t,Ware
457b,Evening Chant
458,Rolland
459t,All-Saints
459b,Refuge
460t,Bohemia
460b,Gratitude
461,Lynn
462t,Lotha
462b,Upton
463,Anvern
464,Reformation
465t,Breaker
465b,Welton
466,The Mercy-Seat
467t,Elparan
467b,Uxbridge
468t,Mendon
468b,Laurell
469,Pilesgrove
470,Duke Street
471t,Rockingham (Second)
471b,Hesperia
472t,Sunset
472b,Cleaveland
473,Bartholday
474,Rothwell
475,Portugal
476t,Effingham
476b,Shepherd (Second)
477,Park Street
478t,Brentford
478b,Sylvan Stream
479,Triumph
480,Salineville
481,Holden
482,Gray
483,Burroughs (New)
484,Olivet
485,Quito
486t,Retreat
486b,Lisle
487,Chester
488,Dell of the Woods
489,Ridge
490,Creation (Second)
491,Nashville
492t,Ramesis
492b,Supplication
493t,Kedron
493b,Day-Star
494,Hingham
495,The Sailor's Home
496t,Wilmot
496b,Resurrection
497t,Acton
497b,Horton
498,Hendon
499t,Hasten Sinner
499b,Rosefield
500t,Harts
500b,Inley
501,Owen
502,Eton
503,Invocation (New)
504,Missionary Hymn
505,Waterford
506,Dying Love
507t,Union
507b,Sicily
508,Heavenly Rest
509t,Break of Day
509b,The Good Shepherd
510t,Aberdeen
510b,Invitation
511,Farewell
512,Missionary Song
513,Lakeland
514,Crown
515,Olive Shade
516,Oliphant
517,Rapture (Second)
518,Ariel
519,Dalston
520,Harwich
521,Darwell
522,Newbury
523,Conquest
524,When Shall We Meet Again
525,Goodly Land
526,Zion's Glory
527,Prince of Light
528,Throne of Glory
529,Worship
530,Urmund
531,Little Worth
532,Boerne
533,Prospect of Heaven
534,Angels Singing
535,Trial's Hour
536,Symphony
537,Crucifixion
538,Isles of the South
539,Rest for the Weary
540,Funeral Anthem
541,Resignation (Second)
542,The Heavenly Home
543,Chase High Road
544,Life's Troubles
545,Mount Vernon
546t,The Holy Spirit
546b,Oak Grove
547,Higher Ground
548,Macedonia
549t,The Christian's Farewell
549b,The Drone
